object,case,width,force,label,frame_idx,time_sec,x_t00,x_t01,x_t02,x_t03,x_t04,x_t05,x_t06,x_t07,x_t08,x_t09,x_t10,x_t11,x_t12,x_t13,x_t14,x_t15,y_t00,y_t01,y_t02,y_t03,y_t04,y_t05,y_t06,y_t07,y_t08,y_t09,y_t10,y_t11,y_t12,y_t13,y_t14,y_t15,z_t00,z_t01,z_t02,z_t03,z_t04,z_t05,z_t06,z_t07,z_t08,z_t09,z_t10,z_t11,z_t12,z_t13,z_t14,z_t15
appbox,22.0_36_2,22.0,36,2,0,1564556930999.0,0.8274509906768799,0.8235294222831726,0.7176470756530762,0.6000000238418579,0.686274528503418,0.7176470756530762,0.3686274588108063,0.3921568691730499,0.29019609093666077,0.16862745583057404,0.40784314274787903,0.6078431606292725,1.0,0.9921568632125854,1.0,1.0,0.07058823853731155,0.06666667014360428,0.1921568661928177,0.07450980693101883,0.0,0.0,0.0,0.0,0.22745098173618317,0.10588235408067703,0.16078431904315948,0.3607843220233917,0.95686274766922,0.929411768913269,0.8784313797950745,0.8745098114013672,0.07450980693101883,0.07058823853731155,0.4000000059604645,0.2823529541492462,0.0,0.0,0.05098039284348488,0.07450980693101883,0.0,0.0,0.0,0.0,0.33725491166114807,0.30980393290519714,0.32549020648002625,0.32156863808631897
appbox,22.0_36_2,22.0,36,2,1,1564556931014.0,0.8392156958580017,0.8274509906768799,0.7372549176216125,0.615686297416687,0.6901960968971252,0.7254902124404907,0.3803921639919281,0.40392157435417175,0.2862745225429535,0.1764705926179886,0.40392157435417175,0.615686297416687,1.0,0.9843137264251709,1.0,1.0,0.07058823853731155,0.05882352963089943,0.19607843458652496,0.07450980693101883,0.0,0.0,0.0,0.0,0.239215686917305,0.12941177189350128,0.16470588743686676,0.3764705955982208,0.9607843160629272,0.9372549057006836,0.8784313797950745,0.8784313797950745,0.0784313753247261,0.06666667014360428,0.4000000059604645,0.27843138575553894,0.0,0.0,0.04313725605607033,0.06666667014360428,0.0,0.0,0.0,0.0,0.3333333432674408,0.30980393290519714,0.3176470696926117,0.3176470696926117
appbox,22.0_36_2,22.0,36,2,2,1564556931029.0,0.8196078538894653,0.8156862854957581,0.7137255072593689,0.5960784554481506,0.6784313917160034,0.7098039388656616,0.364705890417099,0.38823530077934265,0.2862745225429535,0.16470588743686676,0.40392157435417175,0.6039215922355652,1.0,0.9882352948188782,1.0,1.0,0.0784313753247261,0.07450980693101883,0.1921568661928177,0.07450980693101883,0.0,0.0,0.0,0.0,0.22745098173618317,0.10588235408067703,0.16470588743686676,0.364705890417099,0.95686274766922,0.929411768913269,0.8823529481887817,0.8784313797950745,0.07058823853731155,0.06666667014360428,0.4000000059604645,0.2823529541492462,0.0,0.0,0.05098039284348488,0.07450980693101883,0.0,0.0,0.0,0.0,0.3490196168422699,0.32156863808631897,0.3333333432674408,0.3294117748737335
appbox,22.0_36_2,22.0,36,2,3,1564556931044.0,0.8313725590705872,0.8196078538894653,0.7333333492279053,0.6078431606292725,0.686274528503418,0.7137255072593689,0.3803921639919281,0.3960784375667572,0.29019609093666077,0.16078431904315948,0.42352941632270813,0.6196078658103943,1.0,0.9882352948188782,1.0,1.0,0.0784313753247261,0.06666667014360428,0.1921568661928177,0.06666667014360428,0.0,0.0,0.0,0.0,0.23529411852359772,0.10588235408067703,0.16078431904315948,0.35686275362968445,0.9607843160629272,0.9333333373069763,0.8784313797950745,0.8705882430076599,0.07450980693101883,0.062745101749897,0.42352941632270813,0.2980392277240753,0.0,0.0,0.07058823853731155,0.08627451211214066,0.0,0.0,0.0,0.0,0.34117648005485535,0.3137255012989044,0.3294117748737335,0.32156863808631897
appbox,22.0_36_2,22.0,36,2,4,1564556931059.0,0.8235294222831726,0.8235294222831726,0.7176470756530762,0.6039215922355652,0.6901960968971252,0.7215686440467834,0.3686274588108063,0.3921568691730499,0.29019609093666077,0.16862745583057404,0.40784314274787903,0.6078431606292725,1.0,0.9921568632125854,1.0,1.0,0.07058823853731155,0.07058823853731155,0.1882352977991104,0.07450980693101883,0.0,0.0,0.0,0.0,0.22745098173618317,0.10588235408067703,0.16078431904315948,0.3607843220233917,0.9529411792755127,0.929411768913269,0.8784313797950745,0.8745098114013672,0.06666667014360428,0.06666667014360428,0.4156862795352936,0.3019607961177826,0.0,0.0,0.06666667014360428,0.09019608050584793,0.0,0.0,0.0,0.0,0.33725491166114807,0.3137255012989044,0.32549020648002625,0.32156863808631897
appbox,22.0_36_2,22.0,36,2,5,1564556931075.0,0.8235294222831726,0.8196078538894653,0.7137255072593689,0.5960784554481506,0.6823529601097107,0.7176470756530762,0.3686274588108063,0.38823530077934265,0.2980392277240753,0.1764705926179886,0.41960784792900085,0.6196078658103943,1.0,1.0,1.0,1.0,0.06666667014360428,0.062745101749897,0.1882352977991104,0.07058823853731155,0.0,0.0,0.0,0.0,0.22745098173618317,0.10588235408067703,0.1568627506494522,0.35686275362968445,0.95686274766922,0.929411768913269,0.8745098114013672,0.8705882430076599,0.07058823853731155,0.06666667014360428,0.3960784375667572,0.27843138575553894,0.0,0.0,0.05098039284348488,0.07058823853731155,0.0,0.0,0.0,0.0,0.33725491166114807,0.30980393290519714,0.32549020648002625,0.32156863808631897
appbox,22.0_36_2,22.0,36,2,6,1564556931090.0,0.8392156958580017,0.8313725590705872,0.7254902124404907,0.615686297416687,0.6901960968971252,0.7215686440467834,0.37254902720451355,0.3960784375667572,0.2862745225429535,0.16862745583057404,0.40392157435417175,0.6039215922355652,1.0,0.9803921580314636,1.0,1.0,0.07058823853731155,0.062745101749897,0.18431372940540314,0.07450980693101883,0.0,0.0,0.0,0.0,0.23529411852359772,0.11764705926179886,0.1764705926179886,0.3764705955982208,0.9490196108818054,0.929411768913269,0.8823529481887817,0.8745098114013672,0.07450980693101883,0.06666667014360428,0.4156862795352936,0.30588236451148987,0.0,0.0,0.062745101749897,0.08627451211214066,0.0,0.0,0.0,0.0,0.3294117748737335,0.30980393290519714,0.32156863808631897,0.3137255012989044
appbox,22.0_36_2,22.0,36,2,7,1564556931105.0,0.8313725590705872,0.8274509906768799,0.7215686440467834,0.6039215922355652,0.686274528503418,0.7176470756530762,0.3686274588108063,0.38823530077934265,0.29019609093666077,0.16862745583057404,0.40784314274787903,0.6078431606292725,1.0,0.9921568632125854,1.0,1.0,0.0784313753247261,0.07450980693101883,0.1921568661928177,0.07450980693101883,0.0,0.0,0.0,0.0,0.22745098173618317,0.10588235408067703,0.16078431904315948,0.3607843220233917,0.95686274766922,0.929411768913269,0.8784313797950745,0.8745098114013672,0.07450980693101883,0.07058823853731155,0.41960784792900085,0.3019607961177826,0.0,0.0,0.06666667014360428,0.08627451211214066,0.0,0.0,0.0,0.0,0.34117648005485535,0.3137255012989044,0.32549020648002625,0.32156863808631897
appbox,22.0_36_2,22.0,36,2,8,1564556931120.0,0.8313725590705872,0.8196078538894653,0.7215686440467834,0.5921568870544434,0.6823529601097107,0.7176470756530762,0.3607843220233917,0.38823530077934265,0.2862745225429535,0.1725490242242813,0.4000000059604645,0.6117647290229797,1.0,0.9960784316062927,1.0,1.0,0.0784313753247261,0.06666667014360428,0.20000000298023224,0.07058823853731155,0.0,0.0,0.0,0.0,0.2235294133424759,0.10980392247438431,0.15294118225574493,0.364705890417099,0.95686274766922,0.9333333373069763,0.8745098114013672,0.8784313797950745,0.06666667014360428,0.054901961237192154,0.40784314274787903,0.27843138575553894,0.0,0.0,0.0470588244497776,0.07450980693101883,0.0,0.0,0.0,0.0,0.3490196168422699,0.32549020648002625,0.3294117748737335,0.3333333432674408
appbox,22.0_36_2,22.0,36,2,9,1564556931135.0,0.8313725590705872,0.8156862854957581,0.7254902124404907,0.6039215922355652,0.6823529601097107,0.7137255072593689,0.364705890417099,0.3921568691730499,0.29019609093666077,0.18431372940540314,0.40784314274787903,0.6196078658103943,1.0,0.9960784316062927,1.0,1.0,0.07450980693101883,0.05882352963089943,0.20000000298023224,0.0784313753247261,0.0,0.0,0.0,0.0,0.22745098173618317,0.12156862765550613,0.16470588743686676,0.3764705955982208,0.9490196108818054,0.9333333373069763,0.8784313797950745,0.8745098114013672,0.0784313753247261,0.062745101749897,0.4000000059604645,0.27843138575553894,0.0,0.0,0.03921568766236305,0.06666667014360428,0.0,0.0,0.0,0.0,0.3294117748737335,0.3137255012989044,0.3176470696926117,0.3137255012989044
