Learning Rate	Train Loss	Train Acc	Test Loss	Test Acc	Best Acc (Test).	Elasped(s)	EpochTime(s)	ETA(s)	VRAM_used(MB)	VRAM_total(MB)	VRAM_util(%)	VRAM_peak_alloc(MB)	VRAM_peak_reserved(MB)	
0.000100	0.001274	1.000000	0.439991	0.856732	0.863515	1909.376856	89.568273	17184.391705	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.001119	1.000000	0.446401	0.856937	0.863515	2003.954510	89.322464	17081.326537	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.001104	1.000000	0.516317	0.853649	0.863515	2099.460334	90.339686	16986.542705	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.001112	0.999931	0.551534	0.856115	0.863515	2194.784261	90.027164	16890.296273	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.001004	1.000000	0.465440	0.855910	0.863515	2289.704425	89.861820	16791.165781	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000954	1.000000	0.480127	0.847688	0.863515	2384.186651	89.627130	16689.306557	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000995	1.000000	0.488997	0.854676	0.863515	2479.877358	90.836702	16596.102319	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000839	1.000000	0.477946	0.855498	0.863515	2574.931069	90.129715	16498.632403	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000835	1.000000	0.461348	0.852826	0.863515	2670.425169	89.787944	16404.040321	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000893	1.000000	0.534188	0.854060	0.863515	2764.552472	88.830314	16301.326647	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000746	1.000000	0.460917	0.858787	0.863515	2859.785132	89.821211	16205.449080	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000702	1.000000	0.485230	0.854265	0.863515	2954.801610	89.902243	16108.434584	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000692	1.000000	0.468565	0.856732	0.863515	3049.006053	88.750527	16007.281778	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000664	1.000000	0.508032	0.845015	0.863515	3143.950398	89.673207	15910.294441	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000728	1.000000	0.511515	0.852621	0.863515	3239.404896	90.158654	15815.918023	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000706	1.000000	0.457833	0.857965	0.863515	3334.074806	89.569407	15717.781228	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000626	1.000000	0.491497	0.850976	0.863515	3428.929791	89.610351	15620.680159	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000573	1.000000	0.515771	0.853032	0.863515	3524.793750	90.575416	15528.145438	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000616	1.000000	0.522052	0.852621	0.863515	3620.405572	90.169949	15434.360596	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000592	1.000000	0.534210	0.852004	0.863515	3716.201496	90.838481	15341.242075	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000521	1.000000	0.509903	0.853237	0.863515	3810.968030	89.917833	15243.872120	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000612	1.000000	0.531746	0.850360	0.863515	3905.945793	89.540221	15147.448320	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000546	1.000000	0.479062	0.856321	0.863515	4001.654539	90.034202	15053.843265	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000518	1.000000	0.525144	0.851799	0.863515	4096.579564	89.759706	14957.278874	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000476	1.000000	0.525672	0.853032	0.863515	4191.071122	89.111446	14859.252160	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000520	1.000000	0.517312	0.853443	0.863515	4285.320314	89.032482	14760.547749	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000454	1.000000	0.516479	0.853237	0.863515	4380.373500	89.789790	14664.728675	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000549	1.000000	0.545003	0.852415	0.863515	4474.891439	89.155192	14567.199791	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000479	1.000000	0.513534	0.850771	0.863515	4569.576918	89.428286	14470.326906	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000418	1.000000	0.507882	0.853237	0.863515	4663.850598	88.968994	14372.274291	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000395	1.000000	0.543317	0.851799	0.863515	4758.127640	89.099929	14274.382921	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000421	1.000000	0.506632	0.851593	0.863515	4853.698387	90.209688	14180.412934	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000377	1.000000	0.559314	0.849949	0.863515	4949.123340	89.993348	14085.966429	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000480	1.000000	0.533937	0.849332	0.863515	5045.366588	90.846865	13993.752612	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000411	1.000000	0.535638	0.851182	0.863515	5140.273504	89.674840	13897.776510	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000431	1.000000	0.586188	0.849126	0.863515	5235.192669	89.296685	13801.871581	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000463	1.000000	0.564587	0.847276	0.863515	5330.381708	89.812893	13706.695822	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000374	1.000000	0.557011	0.848510	0.863515	5425.039074	89.404157	13610.185748	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000413	1.000000	0.563131	0.849743	0.863515	5518.993032	88.715167	13512.017424	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000415	1.000000	0.549779	0.849126	0.863515	5614.117893	89.850479	13416.790219	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000382	1.000000	0.529243	0.850360	0.863515	5709.323476	89.861909	13321.754778	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000428	1.000000	0.538459	0.849538	0.863515	5804.281185	89.785555	13226.148930	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000376	1.000000	0.557274	0.847688	0.863515	5899.404458	90.173887	13130.932503	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000410	1.000000	0.566378	0.846454	0.863515	5995.019733	90.807944	13036.788943	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000341	1.000000	0.554616	0.844604	0.863515	6088.864715	88.851722	12938.837519	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000325	1.000000	0.555730	0.848099	0.863515	6184.944302	91.068244	12845.653551	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000342	1.000000	0.607490	0.848921	0.863515	6280.394067	89.782749	12751.103106	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000314	1.000000	0.571779	0.849126	0.863515	6375.302757	89.624631	12655.451742	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000303	1.000000	0.541851	0.849332	0.863515	6469.707898	89.469277	12558.844743	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000293	1.000000	0.559704	0.846249	0.863515	6563.596313	89.023396	12461.320537	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000268	1.000000	0.563321	0.848304	0.863515	6657.723899	89.172028	12364.344383	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000289	1.000000	0.542835	0.849538	0.863515	6751.612129	88.958588	12267.013587	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000275	1.000000	0.560834	0.843782	0.863515	6844.982778	88.573678	12168.858271	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000299	1.000000	0.555719	0.844604	0.863515	6940.541894	90.379245	12074.641378	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000341	1.000000	0.537893	0.851593	0.863515	7035.103777	89.272026	11978.690216	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000340	1.000000	0.561493	0.845015	0.863515	7130.878348	90.240073	11884.797246	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000297	1.000000	0.583475	0.843782	0.863515	7225.426895	89.152166	11788.854408	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
