Learning Rate	Train Loss	Train Acc	Test Loss	Test Acc	Best Acc (Test).	Elasped(s)	EpochTime(s)	ETA(s)	VRAM_used(MB)	VRAM_total(MB)	VRAM_util(%)	VRAM_peak_alloc(MB)	VRAM_peak_reserved(MB)	
0.000100	0.001253	1.000000	0.586449	0.762179	0.793834	1724.807310	88.869396	17439.718360	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.001307	0.999931	0.567175	0.788900	0.793834	1819.837596	89.839797	17336.347622	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.001062	1.000000	0.585976	0.779239	0.793834	1915.148912	89.889820	17236.340205	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.001025	1.000000	0.590766	0.743063	0.793834	2010.404724	89.517899	17136.306936	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000981	1.000000	0.572745	0.748407	0.793834	2104.775514	89.162460	17029.547343	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000869	1.000000	0.599153	0.770401	0.793834	2199.148452	89.163893	16923.881564	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000872	1.000000	0.598409	0.779445	0.793834	2294.224715	89.706400	16824.314577	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000950	1.000000	0.639819	0.761768	0.793834	2388.792326	89.331300	16721.546280	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000829	1.000000	0.588120	0.745529	0.793834	2483.845798	89.837970	16622.660342	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000756	1.000000	0.596174	0.767934	0.793834	2579.099855	89.868363	16525.343513	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000800	1.000000	0.605901	0.758068	0.793834	2673.949540	89.650793	16425.690029	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000745	1.000000	0.614641	0.707914	0.793834	2769.002335	89.904840	16327.565493	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000790	1.000000	0.622208	0.755807	0.793834	2863.320109	88.816389	16225.480616	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000641	1.000000	0.639479	0.716136	0.793834	2957.615097	89.014201	16123.772626	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000672	1.000000	0.628946	0.766084	0.793834	3052.506183	89.664493	16025.657463	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000620	1.000000	0.642234	0.706680	0.793834	3148.047256	90.155636	15931.027020	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000745	0.999931	0.649145	0.752312	0.793834	3243.085943	89.752519	15833.890191	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000619	1.000000	0.646673	0.749229	0.793834	3338.252105	89.847106	15737.474210	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000604	1.000000	0.663036	0.702569	0.793834	3433.059596	89.617398	15639.493715	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000717	1.000000	0.603823	0.719836	0.793834	3527.629628	89.369491	15540.638633	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000563	1.000000	0.654961	0.781912	0.793834	3623.124619	90.092704	15445.952322	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000589	1.000000	0.638578	0.753546	0.793834	3718.758080	90.384337	15351.796178	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000517	1.000000	0.679641	0.718808	0.793834	3814.001441	90.079455	15256.005765	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000528	1.000000	0.637224	0.728674	0.793834	3911.155431	91.378890	15167.651550	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000505	1.000000	0.670420	0.730730	0.793834	4006.894783	90.515127	15073.556563	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000535	1.000000	0.655813	0.745118	0.793834	4102.518298	90.230324	14978.962159	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000424	1.000000	0.692391	0.738129	0.793834	4198.223777	90.459637	14884.611572	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000565	1.000000	0.638083	0.731963	0.793834	4293.650545	90.270081	14789.240765	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000502	1.000000	0.660818	0.709353	0.793834	4388.538465	89.683699	14692.063558	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000439	1.000000	0.660446	0.754368	0.793834	4482.723989	88.906396	14592.697242	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000449	1.000000	0.687127	0.726413	0.793834	4578.172724	90.203208	14497.546959	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000413	1.000000	0.623400	0.713669	0.793834	4673.678497	90.056503	14402.560266	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000375	1.000000	0.634695	0.767318	0.793834	4767.983299	89.092622	14303.949898	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000432	1.000000	0.640025	0.757451	0.793834	4862.406947	89.337113	14205.855590	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000444	0.999931	0.664672	0.747379	0.793834	4956.809125	89.142005	14107.841356	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000398	1.000000	0.650992	0.760946	0.793834	5052.832999	91.191221	14014.461337	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000383	1.000000	0.675627	0.746763	0.793834	5148.625976	90.382638	13920.359119	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000344	1.000000	0.649051	0.767112	0.793834	5243.480423	89.536251	13823.721115	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000390	1.000000	0.673676	0.739157	0.793834	5338.682648	89.890903	13728.041095	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000351	1.000000	0.688114	0.725385	0.793834	5433.484894	89.639185	13631.374383	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000390	1.000000	0.675900	0.766906	0.793834	5527.983816	89.216757	13534.029342	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000340	1.000000	0.634428	0.767934	0.793834	5622.158758	89.040783	13436.006524	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000406	1.000000	0.663163	0.764645	0.793834	5717.544373	90.147152	13340.936871	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000322	1.000000	0.657099	0.771634	0.793834	5812.812591	90.038749	13245.589346	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000347	1.000000	0.645051	0.732374	0.793834	5908.090291	89.855566	13150.265487	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000294	1.000000	0.684359	0.771429	0.793834	6002.859250	89.507840	13053.836782	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000298	1.000000	0.640813	0.776156	0.793834	6097.293586	89.314836	12956.748869	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000307	1.000000	0.689328	0.768551	0.793834	6192.192590	89.759644	12860.707688	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
